#,Équipe,Points,Pld,GD,W,D,L,GF,GA
1,Valence,77,38,44,23,8,7,71,27
2,Barcelone,72,38,24,21,9,8,63,39
3,La Coruña,71,38,26,21,8,9,60,34
4,Real Madrid,70,38,18,21,7,10,72,54
5,Bilbao,56,38,4,15,11,12,53,49
6,Séville,55,38,11,15,10,13,56,45
7,Atlético,55,38,-2,15,10,13,51,53
8,Villarreal,54,38,-2,15,9,14,47,49
9,Betis,52,38,3,13,13,12,46,43
10,Malaga,51,38,-5,15,6,17,50,55
11,Majorque,51,38,-12,15,6,17,54,66
12,Saragosse,48,38,-9,13,9,16,46,55
13,Osasuna,48,38,1,11,15,12,38,37
14,Albacete,47,38,-8,13,8,17,40,48
15,Real Sociedad,46,38,-4,11,13,14,49,53
16,Espanyol,43,38,-16,13,4,21,48,64
17,Santander,42,38,-15,11,10,17,48,63
18,Valladolid,41,38,-10,10,11,17,46,56
19,Celta Vigo,39,38,-20,9,12,17,48,68
20,Murcia,26,38,-28,5,11,22,29,57
