#,Équipe,Scores,Points,Pld,GD,W,D,L,GF,GA
1,Real Madrid,,90,35,56,28,6,1,78,22
2,Girona,,75,35,31,23,6,6,75,44
3,Barcelone,,73,34,27,22,7,5,70,43
4,Atlético,,70,35,25,22,4,9,64,39
5,Bilbao,,62,35,22,17,11,7,57,35
6,Betis,2-1,55,35,5,14,13,8,45,40
7,Real Sociedad,,54,34,13,14,12,8,48,35
8,Valence,,48,35,-2,13,9,13,37,39
9,Villarreal,,48,35,-1,13,9,13,59,60
10,Getafe,,43,35,-7,10,13,12,41,48
11,Alavés,,42,35,-6,11,9,15,34,40
12,Séville,,41,35,-2,10,11,14,47,49
13,Osasuna,,40,35,-14,11,7,17,39,53
14,Las Palmas,,37,35,-14,10,7,18,30,44
15,Majorque,,35,35,-12,7,14,14,28,40
16,Vallecano,,35,35,-16,7,14,14,27,43
17,Celta Vigo,,34,35,-13,8,10,17,40,53
18,Cadix,,29,35,-25,5,14,16,24,49
19,Grenade,,21,35,-32,4,9,22,36,68
20,Almería,1-2,17,35,-35,2,11,22,34,69
