Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD
1,PARIS SAINT-GERMAIN,93,38,29,6,3,108,29,79
2,AS MONACO,80,38,24,8,6,85,45,40
3,OLYMPIQUE LYONNAIS,78,38,23,9,6,87,43,44
4,OLYMPIQUE DE MARSEILLE,77,38,22,11,5,80,47,33
5,STADE RENNAIS FC,58,38,16,10,12,50,44,6
6,FC GIRONDINS DE BORDEAUX,55,38,16,7,15,53,48,5
7,AS SAINT-ÉTIENNE,55,38,15,10,13,47,50,-3
8,OGC NICE,54,38,15,9,14,53,52,1
9,FC NANTES,52,38,14,10,14,36,41,-5
10,MONTPELLIER HÉRAULT SC,51,38,11,18,9,36,33,3
11,DIJON FCO,48,38,13,9,16,55,73,-18
12,EN AVANT GUINGAMP,47,38,12,11,15,48,59,-11
13,AMIENS SC,45,38,12,9,17,37,42,-5
14,ANGERS SCO,41,38,9,14,15,42,52,-10
15,RC STRASBOURG ALSACE,38,38,9,11,18,44,67,-23
16,STADE MALHERBE CAEN,38,38,10,8,20,27,52,-25
17,LOSC LILLE,38,38,10,8,20,41,67,-26
18,TOULOUSE FC,37,38,9,10,19,38,54,-16
19,ESTAC TROYES,33,38,9,6,23,32,59,-27
20,FC METZ,26,38,6,8,24,34,76,-42
