Position,Team,Points,Played,Wins,Draws,Losses,GF,GA,GD,Sign
1,PARIS SAINT-GERMAIN,70,31,20,10,1,76,29,47,-
2,AS MONACO,58,31,17,7,7,58,41,17,
3,STADE BRESTOIS 29,56,31,16,8,7,49,33,16,-
4,LOSC LILLE,55,31,15,10,6,45,27,18,-
5,OGC NICE,51,31,14,9,8,36,25,11,-
6,RC LENS,49,32,14,7,11,42,34,8,
7,OLYMPIQUE DE MARSEILLE,44,31,11,11,9,47,38,9,-
8,OLYMPIQUE LYONNAIS,44,31,13,5,13,42,51,-9,-
9,STADE RENNAIS FC,42,31,11,9,11,48,41,7,-
10,MONTPELLIER HÉRAULT SC,40,32,10,11,11,41,44,-3,
11,TOULOUSE FC,40,32,10,10,12,39,42,-3,
12,STADE DE REIMS,40,31,11,7,13,38,45,-7,-
13,RC STRASBOURG ALSACE,36,32,9,9,14,35,47,-12,
14,HAVRE ATHLETIC CLUB,32,32,7,11,14,33,42,-9,
15,FC NANTES,32,31,9,5,17,29,49,-20,-
16,FC METZ,29,31,8,5,18,32,51,-19,-
17,FC LORIENT,26,32,6,8,18,37,63,-26,
18,CLERMONT FOOT 63,25,31,5,10,16,25,50,-25,
