Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points
1 1,City MCI,38,28,5,5,94,33,61,89
2 2,ARS,38,26,6,6,88,43,45,84
3 3,United MUN,38,23,6,9,58,43,15,75
4 4,United NEW,38,19,14,5,68,33,35,71
5 5,LIV,38,19,10,9,75,47,28,67
6 6,and Hove Albion BHA,38,18,8,12,72,53,19,62
7 7,Villa AVL,38,18,7,13,51,46,5,61
8 8,Hotspur TOT,38,18,6,14,70,63,7,60
9 9,BRE,38,15,14,9,58,46,12,59
10 10,FUL,38,15,7,16,55,53,2,52
11 11,Palace CRY,38,11,12,15,40,49,-9,45
12 12,CHE,38,11,11,16,38,47,-9,44
13 13,Wanderers WOL,38,11,8,19,31,58,-27,41
14 14,Ham United WHU,38,11,7,20,42,55,-13,40
15 15,BOU,38,11,6,21,37,71,-34,39
16 16,Forest NFO,38,9,11,18,38,68,-30,38
17 17,EVE,38,8,12,18,34,57,-23,36
18 18,City LEI,38,9,7,22,51,68,-17,34
19 19,United LEE,38,7,10,21,48,78,-30,31
20 20,SOU,38,6,7,25,36,73,-37,25
