POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,72,34,21,9,4,64,29,35
2,INTER INT,65,34,19,8,7,64,38,26
3,MILAN MIL,61,34,18,7,9,55,30,25
4,LAZIO LAZ,60,34,15,15,4,57,32,25
5,PARMA PAR,56,34,15,11,8,55,36,19
6,UDINESE UDI,56,34,16,8,10,38,35,3
7,CHIEVOVERONA CHI,55,34,16,7,11,51,39,12
8,ROMA ROM,49,34,13,10,11,55,46,9
9,BRESCIA BRE,42,34,9,15,10,36,38,-2
10,PERUGIA PER,42,34,10,12,12,40,48,-8
11,BOLOGNA BOL,41,34,10,11,13,39,47,-8
12,MODENA MOD,38,34,9,11,14,30,48,-18
13,EMPOLI EMP,38,34,9,11,14,36,46,-10
14,REGGINA RGI,38,34,10,8,16,38,53,-15
15,ATALANTA ATA,38,34,8,14,12,35,47,-12
16,PIACENZA PIA,30,34,8,6,20,44,62,-18
17,COMO COM,24,34,4,12,18,29,57,-28
18,TORINO TOR,21,34,4,9,21,23,58,-35
