Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,WOBWolfsburgVfL Wolfsburg,,34,21,6,7,80:41,39,69
,2,,FCBFC BayernFC Bayern München,,34,20,7,7,71:42,29,67
,3,,VFBStuttgartVfB Stuttgart,,34,19,7,8,63:43,20,64
,4,,BSCHertha BSCHertha BSC,,34,19,6,9,48:41,7,63
,5,,HSVHamburgHamburger SV,,34,19,4,11,49:47,2,61
,6,,BVBDortmundBorussia Dortmund,,34,15,14,5,60:37,23,59
,7,,TSGHoffenheimTSG Hoffenheim,,34,15,10,9,63:49,14,55
,8,,S04SchalkeFC Schalke 04,,34,14,8,12,47:35,12,50
,9,,B04LeverkusenBayer 04 Leverkusen,,34,14,7,13,59:46,13,49
,10,,SVWBremenSV Werder Bremen,,34,12,9,13,64:50,14,45
,11,,H96HannoverHannover 96,,34,10,10,14,49:69,-20,40
,12,,KOEKöln1. FC Köln,,34,11,6,17,35:50,-15,39
,13,,SGEFrankfurtEintracht Frankfurt,,34,8,9,17,39:60,-21,33
,14,,BOCBochumVfL Bochum 1848,,34,7,11,16,39:55,-16,32
,15,,BMGM'gladbachBorussia M'gladbach,,34,8,7,19,39:62,-23,31
,16,,FCECottbusFC Energie Cottbus,,34,8,6,20,30:57,-27,30
,17,,KSCKarlsruheKarlsruher SC,,34,8,5,21,30:54,-24,29
,18,,DSCBielefeldDSC Arminia Bielefeld,,34,4,16,14,29:56,-27,28
