Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,MatchesM,WonW,DrawD,LostL,GoalsG,+/-,PointsP
,1,,,B04LeverkusenBayer 04 Leverkusen,,31,25,6,0,77:22,55,81
,2,,,FCBBayernFC Bayern München,,31,22,3,6,89:38,51,69
,3,,,VFBStuttgartVfB Stuttgart,,31,20,4,7,70:38,32,64
,4,,,RBLLeipzigRB Leipzig,,31,19,5,7,73:35,38,62
,5,,,BVBDortmundBorussia Dortmund,,31,16,9,6,59:39,20,57
,6,,,SGEFrankfurtEintracht Frankfurt,,31,11,12,8,47:42,5,45
,7,,,SCFFreiburgSport-Club Freiburg,,31,11,7,13,43:55,-12,40
,8,,,FCAAugsburgFC Augsburg,,31,10,9,12,48:52,-4,39
,9,,,TSGHoffenheimTSG Hoffenheim,,31,11,6,14,55:63,-8,39
,10,,,HDHHeidenheim1. FC Heidenheim 1846,,31,9,10,12,44:52,-8,37
,11,,,SVWBremenSV Werder Bremen,,31,10,7,14,41:50,-9,37
,12,,,WOBWolfsburgVfL Wolfsburg,,31,9,7,15,37:51,-14,34
,13,,,BMGM'gladbachBorussia Mönchengladbach,,31,7,11,13,53:60,-7,32
,14,,,FCUUnion Berlin1. FC Union Berlin,,31,8,6,17,26:50,-24,30
,15,,,BOCBochumVfL Bochum 1848,,31,6,12,13,37:62,-25,30
,16,,,M05Mainz1. FSV Mainz 05,,31,5,13,13,32:49,-17,28
,17,,,KOEKöln1. FC Köln,,31,4,11,16,24:54,-30,23
,18,,,SVDDarmstadtSV Darmstadt 98,,31,3,8,20,30:73,-43,17
