#,Équipe,Pts,J,DIF,G,N,D,BP,BC
1,Real Madrid,76,38,26,23,7,8,66,40
2,Barcelone,76,38,45,22,10,6,78,33
3,Séville,71,38,29,21,8,9,64,35
4,Valence,66,38,15,20,6,12,57,42
5,Villarreal,62,38,4,18,8,12,48,44
6,Saragosse,60,38,12,16,12,10,55,43
7,Atlético,60,38,7,17,9,12,46,39
8,Huelva,54,38,2,15,9,14,54,52
9,Getafe,52,38,6,14,10,14,39,33
10,Santander,50,38,-6,12,14,12,42,48
11,Espanyol,49,38,-7,12,13,13,46,53
12,Majorque,49,38,-6,14,7,17,41,47
13,La Coruña,47,38,-13,12,11,15,32,45
14,Osasuna,46,38,2,13,7,18,51,49
15,Levante,42,38,-16,10,12,16,37,53
16,Betis,40,38,-13,8,16,14,36,49
17,Bilbao,40,38,-18,10,10,18,44,62
18,Celta Vigo,39,38,-19,10,9,19,40,59
19,Real Sociedad,35,38,-15,8,11,19,32,47
20,Tarragona,28,38,-35,7,7,24,34,69
