0,1,2
1,OLYMPIQUE LYONNAIS,79 38 24 7 7 64 26 +38
2,PARIS SAINT-GERMAIN,76 38 22 10 6 50 28 +22
3,AS MONACO,75 38 21 12 5 59 30 +29
4,AJ AUXERRE,65 38 19 8 11 60 34 +26
5,FC SOCHAUX-MONTBÉLIARD,63 38 18 9 11 54 42 +12
6,FC NANTES,60 38 17 9 12 47 35 +12
7,OLYMPIQUE DE MARSEILLE,57 38 17 6 15 51 45 +6
8,RC LENS,53 38 15 8 15 34 48 -14
9,STADE RENNAIS FC,52 38 14 10 14 56 44 +12
10,LOSC LILLE,51 38 14 9 15 41 41 0
11,OGC NICE,50 38 11 17 10 42 39 +3
12,FC GIRONDINS DE BORDEAUX,50 38 13 11 14 40 43 -3
13,RC STRASBOURG ALSACE,43 38 10 13 15 43 50 -7
14,FC METZ,42 38 11 9 18 34 42 -8
15,AC AJACCIO,40 38 10 10 18 33 55 -22
16,TOULOUSE FC,39 38 9 12 17 31 44 -13
17,SC BASTIA,39 38 9 12 17 33 49 -16
18,EN AVANT GUINGAMP,38 38 10 8 20 36 58 -22
19,LE MANS FC,38 38 9 11 18 35 57 -22
20,MONTPELLIER HÉRAULT SC,31 38 8 7 23 41 74 -33
