Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
1 Previous Position 1,Manchester City MCI,38,27,5,6,102,37,65,86,W Monday 21 April 2014 MCI 3-1 WBA W Sunday 27 April 2014 CRY 0-2 MCI W Saturday 3 May 2014 EVE 2-3 MCI W Wednesday 7 May 2014 MCI 4-0 AVL W Sunday 11 May 2014 MCI 2-0 WHU,,
Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page,Manchester City label.latestresult: Sunday 11 May 2014 MCI 2-0 WHU Visit Club Page
2 Previous Position 2,Liverpool LIV,38,26,6,6,101,50,51,84,W Sunday 13 April 2014 LIV 3-2 MCI W Sunday 20 April 2014 NOR 2-3 LIV L Sunday 27 April 2014 LIV 0-2 CHE D Monday 5 May 2014 CRY 3-3 LIV W Sunday 11 May 2014 LIV 2-1 NEW,,
Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page,Liverpool label.latestresult: Sunday 11 May 2014 LIV 2-1 NEW Visit Club Page
3 Previous Position 3,Chelsea CHE,38,25,7,6,71,27,44,82,W Sunday 13 April 2014 SWA 0-1 CHE L Saturday 19 April 2014 CHE 1-2 SUN W Sunday 27 April 2014 LIV 0-2 CHE D Sunday 4 May 2014 CHE 0-0 NOR W Sunday 11 May 2014 CAR 1-2 CHE,,
Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page,Chelsea label.latestresult: Sunday 11 May 2014 CAR 1-2 CHE Visit Club Page
4 Previous Position 4,Arsenal ARS,38,24,7,7,68,41,27,79,W Tuesday 15 April 2014 ARS 3-1 WHU W Sunday 20 April 2014 HUL 0-3 ARS W Monday 28 April 2014 ARS 3-0 NEW W Sunday 4 May 2014 ARS 1-0 WBA W Sunday 11 May 2014 NOR 0-2 ARS,,
Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page,Arsenal label.latestresult: Sunday 11 May 2014 NOR 0-2 ARS Visit Club Page
5 Previous Position 5,Everton EVE,38,21,9,8,61,39,22,72,L Wednesday 16 April 2014 EVE 2-3 CRY W Sunday 20 April 2014 EVE 2-0 MUN L Saturday 26 April 2014 SOU 2-0 EVE L Saturday 3 May 2014 EVE 2-3 MCI W Sunday 11 May 2014 HUL 0-2 EVE,,
Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page,Everton label.latestresult: Sunday 11 May 2014 HUL 0-2 EVE Visit Club Page
6 Previous Position 6,Tottenham Hotspur TOT,38,21,6,11,55,51,4,69,D Saturday 12 April 2014 WBA 3-3 TOT W Saturday 19 April 2014 TOT 3-1 FUL W Saturday 26 April 2014 STK 0-1 TOT L Saturday 3 May 2014 WHU 2-0 TOT W Sunday 11 May 2014 TOT 3-0 AVL,,
Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page,Tottenham Hotspur label.latestresult: Sunday 11 May 2014 TOT 3-0 AVL Visit Club Page
7 Previous Position 7,Manchester United MUN,38,19,7,12,64,43,21,64,L Sunday 20 April 2014 EVE 2-0 MUN W Saturday 26 April 2014 MUN 4-0 NOR L Saturday 3 May 2014 MUN 0-1 SUN W Tuesday 6 May 2014 MUN 3-1 HUL D Sunday 11 May 2014 SOU 1-1 MUN,,
Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Manchester United label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page
8 Previous Position 8,Southampton SOU,38,15,11,12,54,46,8,56,L Saturday 12 April 2014 SOU 0-1 CAR D Saturday 19 April 2014 AVL 0-0 SOU W Saturday 26 April 2014 SOU 2-0 EVE W Saturday 3 May 2014 SWA 0-1 SOU D Sunday 11 May 2014 SOU 1-1 MUN,,
Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page,Southampton label.latestresult: Sunday 11 May 2014 SOU 1-1 MUN Visit Club Page
9 Previous Position 10,Stoke City STK,38,13,11,14,45,52,-7,50,W Saturday 12 April 2014 STK 1-0 NEW D Saturday 19 April 2014 CAR 1-1 STK L Saturday 26 April 2014 STK 0-1 TOT W Saturday 3 May 2014 STK 4-1 FUL W Sunday 11 May 2014 WBA 1-2 STK,,
Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page,Stoke City label.latestresult: Sunday 11 May 2014 WBA 1-2 STK Visit Club Page
