POS,Club,PTS,P,W,D,L,GF,GA,GD,Trend,Unnamed: 11
1,INTER INT,89,34,28,5,1,81,18,63,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
2,MILAN MIL,70,34,21,7,6,64,39,25,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
3,JUVENTUS JUV,65,34,18,11,5,47,26,21,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
4,BOLOGNA BOL,63,34,17,12,5,49,27,22,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
5,ROMA ROM,59,34,17,8,9,61,41,20,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
6,ATALANTA ATA,57,33,17,6,10,61,37,24,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
7,LAZIO LAZ,55,34,17,4,13,43,35,8,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
8,FIORENTINA FIO,50,33,14,8,11,50,37,13,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
9,NAPOLI NAP,50,34,13,11,10,52,43,9,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
10,TORINO TOR,46,34,11,13,10,31,31,0,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
11,MONZA MON,44,34,11,11,12,36,44,-8,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
12,GENOA GEN,42,34,10,12,12,38,40,-2,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
13,LECCE LEC,36,34,8,12,14,31,49,-18,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
14,CAGLIARI CAG,32,34,7,11,16,36,59,-23,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
15,HELLAS VERONA VER,31,34,7,10,17,31,45,-14,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
16,FROSINONE FRO,31,34,7,10,17,43,63,-20,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
17,EMPOLI EMP,31,34,8,7,19,26,50,-24,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
18,UDINESE UDI,29,34,4,17,13,32,51,-19,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
19,SASSUOLO SAS,26,34,6,8,20,40,70,-30,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
20,SALERNITANA SAL,15,34,2,9,23,26,73,-47,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
